programID,season,workID,composerLastName,composerFirstName,workTitle,OpusNumber,conductorLastName,conductorFirstName
3853,1842-43,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Hill, Ureli Corelli
5178,1842-43,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Hill, Ureli Corelli
10785,1842-43,52364*1,Beethoven,  Ludwig  van,EGMONT, OP.84,Hill, Ureli Corelli
5887,1842-43,52434*,Beethoven,  Ludwig  van,SYMPHONY NO. 2 IN D MAJOR, OP.36,Boucher, Alfred
305,1843-44,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Hill, Ureli Corelli
3368,1843-44,51668*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 41, C MAJOR,Etienne, Denis G.
4226,1843-44,3707*,Spohr,  Louis,SYMPHONY NO. 2, D MINOR,Loder, George
5087,1843-44,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Alpers, William
6310,1844-45,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Loder, George
1979,1844-45,51727*,Haydn,  Franz  Joseph,SYMPHONY NO.   3, G MAJOR,Hill, Ureli Corelli
2821,1844-45,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Wiegers, Louis
3259,1844-45,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Hill, Ureli Corelli
4919,1845-46,52575*,Mendelssohn,  Felix,SYMPHONY NO. 3, A MINOR,Loder, George
562,1845-46,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Hill, Ureli Corelli
1851,1845-46,51664*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 40, G MINOR,Timm, Henry C.
2321,1845-46,6709*16,Weber,  Carl  Maria Von,FREISCHUTZ, DER,Hill, Ureli Corelli
3540,1846-47,3864*,Spohr,  Louis,SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE),Loder, George
6573,1846-47,51658*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 39, E-FLAT MAJOR,Timm, Henry C.
